Country Name,Country Code,Indicator Name,2014
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",
Afghanistan,AFG,"Literacy rate, adult total (% of people ages 15 and above)",
Angola,AGO,"Literacy rate, adult total (% of people ages 15 and above)",66.03011
Albania,ALB,"Literacy rate, adult total (% of people ages 15 and above)",
Andorra,AND,"Literacy rate, adult total (% of people ages 15 and above)",
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",74.61962
United Arab Emirates,ARE,"Literacy rate, adult total (% of people ages 15 and above)",
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",98.99389
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",
American Samoa,ASM,"Literacy rate, adult total (% of people ages 15 and above)",
Antigua and Barbuda,ATG,"Literacy rate, adult total (% of people ages 15 and above)",
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",99.78899
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",61.56973
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",34.5994
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",61.0933
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",91.72943
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",99.6
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",87.7
Central African Republic,CAF,"Literacy rate, adult total (% of people ages 15 and above)",
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",98.96629
Switzerland,CHE,"Literacy rate, adult total (% of people ages 15 and above)",
Channel Islands,CHI,"Literacy rate, adult total (% of people ages 15 and above)",
Chile,CHL,"Literacy rate, adult total (% of people ages 15 and above)",
China,CHN,"Literacy rate, adult total (% of people ages 15 and above)",
Cote d'Ivoire,CIV,"Literacy rate, adult total (% of people ages 15 and above)",43.90842
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",
"Congo, Dem. Rep.",COD,"Literacy rate, adult total (% of people ages 15 and above)",
"Congo, Rep.",COG,"Literacy rate, adult total (% of people ages 15 and above)",
Colombia,COL,"Literacy rate, adult total (% of people ages 15 and above)",94.18625
Comoros,COM,"Literacy rate, adult total (% of people ages 15 and above)",
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",
Costa Rica,CRI,"Literacy rate, adult total (% of people ages 15 and above)",
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",91.0397
Cuba,CUB,"Literacy rate, adult total (% of people ages 15 and above)",
Curacao,CUW,"Literacy rate, adult total (% of people ages 15 and above)",
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",
Cyprus,CYP,"Literacy rate, adult total (% of people ages 15 and above)",
Czech Republic,CZE,"Literacy rate, adult total (% of people ages 15 and above)",
Germany,DEU,"Literacy rate, adult total (% of people ages 15 and above)",
Djibouti,DJI,"Literacy rate, adult total (% of people ages 15 and above)",
Dominica,DMA,"Literacy rate, adult total (% of people ages 15 and above)",
Denmark,DNK,"Literacy rate, adult total (% of people ages 15 and above)",
Dominican Republic,DOM,"Literacy rate, adult total (% of people ages 15 and above)",91.76376
Algeria,DZA,"Literacy rate, adult total (% of people ages 15 and above)",
