Entity,Code,Year,5.5.2 - Proportion of women in senior and middle management positions - IC_GEN_MGTN (Percent)
Albania,ALB,2009,22.5
Aruba,ABW,2010,43.3
Australia,AUS,2000,22.9
Australia,AUS,2001,25.1
Australia,AUS,2002,24.8
Australia,AUS,2003,25.9
Australia,AUS,2004,26.6
Australia,AUS,2005,28.3
Australia,AUS,2006,28.6
Australia,AUS,2007,29.3
Australia,AUS,2008,30.7
Australia,AUS,2009,30.5
Australia,AUS,2010,29.7
Australia,AUS,2011,31.7
Australia,AUS,2012,31.1
Australia,AUS,2013,31.6
Australia,AUS,2014,32.3
Austria,AUT,2000,28.1
Austria,AUT,2001,29.4
Austria,AUT,2002,30.8
Austria,AUT,2003,28.5
Austria,AUT,2004,22.2
Austria,AUT,2005,21.5
Austria,AUT,2006,21
Austria,AUT,2007,21
Austria,AUT,2008,25.2
Austria,AUT,2009,23.3
Austria,AUT,2010,25.4
Austria,AUT,2011,26.1
Austria,AUT,2012,27.1
Austria,AUT,2013,26.3
Austria,AUT,2014,27.9
Austria,AUT,2015,27.9
Belarus,BLR,2009,47
Belgium,BEL,2000,24.5
Belgium,BEL,2001,28.4
Belgium,BEL,2002,28
Belgium,BEL,2003,27.3
Belgium,BEL,2004,26.9
Belgium,BEL,2005,30.2
Belgium,BEL,2006,31.1
Belgium,BEL,2007,33.5
Belgium,BEL,2008,31.9
Belgium,BEL,2009,34.6
Belgium,BEL,2010,34.8
Belgium,BEL,2011,30.5
Belgium,BEL,2012,31.7
Belgium,BEL,2013,30.8
Belgium,BEL,2014,31.3
Belgium,BEL,2015,31
Belize,BLZ,2015,36.6
Bosnia and Herzegovina,BIH,2014,24.2
Bosnia and Herzegovina,BIH,2015,24.2
Bulgaria,BGR,2000,37.5
Bulgaria,BGR,2001,40.5
Bulgaria,BGR,2002,42.3
Bulgaria,BGR,2003,37.8
Bulgaria,BGR,2004,41.4
Bulgaria,BGR,2005,40.6
Bulgaria,BGR,2006,37.6
Bulgaria,BGR,2007,36.4
Bulgaria,BGR,2008,36.5
Bulgaria,BGR,2009,35.8
Bulgaria,BGR,2010,38.6
Bulgaria,BGR,2011,37
Bulgaria,BGR,2012,35.5
Bulgaria,BGR,2013,36
Bulgaria,BGR,2014,35.4
Bulgaria,BGR,2015,37.4
Cambodia,KHM,2010,14.1
Costa Rica,CRI,2010,29.7
Costa Rica,CRI,2012,29.2
Costa Rica,CRI,2013,36.6
Costa Rica,CRI,2015,41.3
Croatia,HRV,2002,26.8
Croatia,HRV,2003,28.3
Croatia,HRV,2004,17.5
Croatia,HRV,2005,28.2
Croatia,HRV,2006,27.5
Croatia,HRV,2007,22.7
Croatia,HRV,2008,32.1
Croatia,HRV,2009,37.2
Croatia,HRV,2010,27.4
Croatia,HRV,2011,23.6
Croatia,HRV,2012,25.8
Croatia,HRV,2013,23.9
Croatia,HRV,2014,24.4
Croatia,HRV,2015,25.7
Cyprus,CYP,2000,18.5
Cyprus,CYP,2001,18.6
Cyprus,CYP,2002,17.3
Cyprus,CYP,2003,17.9
Cyprus,CYP,2004,17
Cyprus,CYP,2005,17.1
Cyprus,CYP,2006,17.2
Cyprus,CYP,2007,17.7
Cyprus,CYP,2008,20.4
Cyprus,CYP,2009,13.8
Cyprus,CYP,2010,14.3
Cyprus,CYP,2011,14.7
Cyprus,CYP,2012,16.4
Cyprus,CYP,2013,18.7
Cyprus,CYP,2014,18.1
Cyprus,CYP,2015,25.2
Czech Republic,CZE,2000,26.4
Czech Republic,CZE,2001,29.1
Czech Republic,CZE,2002,27.9
Czech Republic,CZE,2003,31.5
Czech Republic,CZE,2004,30.3
Czech Republic,CZE,2005,31.5
Czech Republic,CZE,2006,30.7
Czech Republic,CZE,2007,29.5
Czech Republic,CZE,2008,29.2
Czech Republic,CZE,2009,28.7
Czech Republic,CZE,2010,27.8
Czech Republic,CZE,2011,24
Czech Republic,CZE,2012,23.1
Czech Republic,CZE,2013,24.5
Czech Republic,CZE,2014,26.6
Czech Republic,CZE,2015,27.8
Denmark,DNK,2000,19.7
Denmark,DNK,2001,17.6
Denmark,DNK,2002,17.9
Denmark,DNK,2003,20.5
Denmark,DNK,2004,20.6
Denmark,DNK,2005,21.4
Denmark,DNK,2006,20.4
Denmark,DNK,2007,25.3
Denmark,DNK,2008,19.9
Denmark,DNK,2009,20.4
Denmark,DNK,2010,19.5
Denmark,DNK,2011,28.6
Denmark,DNK,2012,28.8
Denmark,DNK,2013,27.5
Denmark,DNK,2014,26.2
